Year,Month,Day,Rain(mm),PET(mm)
2000,12,28,0,2.307665035
2000,12,29,0,3.014282484
2000,12,30,0,2.193521849
2000,12,31,0,2.533576806
2001,1,1,0,2.82235274
2001,1,2,0.7,2.549032607
2001,1,3,2,1.856507673
2001,1,4,3.3,1.224173272
2001,1,5,0,1.520251953
2001,1,6,0,1.750283834
2001,1,7,0,2.142298749
2001,1,8,0,2.051981294
2001,1,9,0,1.631447363
2001,1,10,0,1.732626998
2001,1,11,0,1.561873517
2001,1,12,0,1.327024989
2001,1,13,0,2.123749852
2001,1,14,0,2.44635179
2001,1,15,0,3.142257217
2001,1,16,0,2.832770314
2001,1,17,0,1.734356595
2001,1,18,10.5,2.10283161
2001,1,19,13.6,1.39450878
2001,1,20,3.4,1.064904523
2001,1,21,0,1.854558815
2001,1,22,0.2,1.794263066
2001,1,23,6.5,1.243092475
2001,1,24,64.3,1.052373349
2001,1,25,13,0.844446997
2001,1,26,0,1.813016419
2001,1,27,0,2.250292472
2001,1,28,0,2.607018
2001,1,29,0,2.921386466
2001,1,30,0,3.592531452
2001,1,31,0,3.650215529
2001,2,1,0,3.548608826
2001,2,2,0,2.410277616
2001,2,3,34.4,3.130715889
2001,2,4,11.9,2.174177418
2001,2,5,1.3,1.540829755
2001,2,6,0,1.955224373
2001,2,7,6.1,1.391449845
2001,2,8,0,1.655798802
2001,2,9,0,2.000511737
2001,2,10,0,2.534552691
2001,2,11,0,2.686323449
2001,2,12,0,3.317705413
2001,2,13,0.2,2.481864707
2001,2,14,7.6,2.876559155
2001,2,15,3.2,1.784018743
2001,2,16,0.2,2.031491019
2001,2,17,11,1.26572684
2001,2,18,0.3,1.904556741
2001,2,19,0,2.240253934
2001,2,20,20.6,2.342191732
2001,2,21,11.6,1.505616382
2001,2,22,0.2,1.878599378
2001,2,23,0,2.4490369
2001,2,24,0,2.585374574
2001,2,25,0,3.01736336
2001,2,26,0,3.501768897
2001,2,27,0,4.027612141
2001,2,28,0,4.270633505
2001,3,1,0,4.867835528
2001,3,2,0,4.326061676
2001,3,3,0,2.842230423
2001,3,4,0,3.837288512
2001,3,5,0,4.290989361
2001,3,6,0,3.981747603
2001,3,7,0,4.67553179
2001,3,8,1,3.646180331
2001,3,9,2.1,3.142163639
2001,3,10,0,3.064729118
2001,3,11,0,4.187533621
2001,3,12,0,4.048672983
2001,3,13,0,3.103718705
2001,3,14,0,2.114008091
2001,3,15,0,3.410384439
2001,3,16,0,3.24910811
2001,3,17,0,4.341297155
2001,3,18,0,5.62974206
2001,3,19,0,3.84396883
2001,3,20,0,5.444412516
2001,3,21,0,4.934306211
2001,3,22,0,5.440838215
2001,3,23,3.6,4.746763812
2001,3,24,1,4.022803383
2001,3,25,0,4.092765648
2001,3,26,0,5.111276099
2001,3,27,0,5.526172742
2001,3,28,0,6.507962136
2001,3,29,0,6.351758147
2001,3,30,0,5.816007739
2001,3,31,0,6.478948175
2001,4,1,0,6.793298275
2001,4,2,0.1,5.158899858
2001,4,3,0,3.400338094
2001,4,4,1.2,2.96618561
2001,4,5,0,3.250291099
2001,4,6,0,2.826282731
2001,4,7,1.2,3.709508703
2001,4,8,0.1,2.588752008
2001,4,9,0,4.257330687
2001,4,10,0,5.511794685
2001,4,11,0,4.203325835
2001,4,12,0,4.067645114
2001,4,13,0,4.730787687
2001,4,14,0,6.253087758
2001,4,15,0,4.403453629
2001,4,16,0,5.586549462
2001,4,17,0,5.613599698
2001,4,18,0,6.681582162
2001,4,19,0,7.435670995
2001,4,20,0,5.718457784
2001,4,21,0,6.338661327
2001,4,22,0,6.402131026
2001,4,23,0,6.028847587
2001,4,24,0,4.927295195
2001,4,25,0,3.77933461
2001,4,26,0,5.610000115
2001,4,27,0,6.656708007
2001,4,28,0,6.987629787
2001,4,29,0,7.442131196
2001,4,30,8.8,5.383030539
2001,5,1,71,5.672674642
2001,5,2,0,3.579045982
2001,5,3,0,4.41036527
2001,5,4,0,4.924622849
2001,5,5,0,5.549514035
2001,5,6,0,7.53589771
2001,5,7,0,4.962905562
2001,5,8,0,4.843825401
2001,5,9,0,5.693149244
2001,5,10,0.2,4.340366239
2001,5,11,0,4.527148341
2001,5,12,0,5.725934044
2001,5,13,0,5.359518024
2001,5,14,0,4.867384408
2001,5,15,0,4.634130183
2001,5,16,0,5.096140445
2001,5,17,0,5.588297983
2001,5,18,0,5.825164014
2001,5,19,0,5.708766547
2001,5,20,0,7.970489655
2001,5,21,0,8.627235232
2001,5,22,0,7.73815466
2001,5,23,0,8.597589928
2001,5,24,0,9.626654202
2001,5,25,0,8.111063931
2001,5,26,0,7.97234762
2001,5,27,0,8.656833865
2001,5,28,0,8.542151588
2001,5,29,0,7.87454734
2001,5,30,0,5.952328586
2001,5,31,0,7.194312532
2001,6,1,0,8.627193228
2001,6,2,0,8.361156192
2001,6,3,0,7.754321054
2001,6,4,0,7.951334382
2001,6,5,0,6.608035303
2001,6,6,0,5.948678484
2001,6,7,0,6.189760527
2001,6,8,0,5.923574271
2001,6,9,0,6.376294701
2001,6,10,0,6.958244222
2001,6,11,0,8.421240296
2001,6,12,0,8.826036475
2001,6,13,0,9.411099566
2001,6,14,0,8.983028061
2001,6,15,0,9.301961195
2001,6,16,0,8.494662334
2001,6,17,0,6.014611282
2001,6,18,0,6.701815761
2001,6,19,0,7.424774739
2001,6,20,0,8.611717656
2001,6,21,0,9.559941841
2001,6,22,0,8.078778693
2001,6,23,0,6.607965941
2001,6,24,0,6.502565241
2001,6,25,0,6.647504157
2001,6,26,0,6.956787063
2001,6,27,0,7.550064137
2001,6,28,0,7.250362722
2001,6,29,0,7.368218672
2001,6,30,0,7.89735223
2001,7,1,0,7.706895332
2001,7,2,0,6.932100509
2001,7,3,0,6.726368784
2001,7,4,0,6.260934917
2001,7,5,0,5.821956108
2001,7,6,0,6.67357302
2001,7,7,0,7.404881009
2001,7,8,0,7.623295753
2001,7,9,0,7.416527169
2001,7,10,0,7.824751851
2001,7,11,0,8.129176784
2001,7,12,0,8.384197072
2001,7,13,0,7.71952663
2001,7,14,0,7.463443456
2001,7,15,0,7.340704946
2001,7,16,0,7.754822613
2001,7,17,0,7.365506749
2001,7,18,0,7.63798425
2001,7,19,0,8.221677979
2001,7,20,0,7.521045578
2001,7,21,0,7.655820966
2001,7,22,0,8.784781694
2001,7,23,0,9.035043883
2001,7,24,0,8.162904239
2001,7,25,0,6.627571259
2001,7,26,0,6.391177943
2001,7,27,0,7.261935474
2001,7,28,0,8.533739154
2001,7,29,0,7.859737484
2001,7,30,0,8.203114931
2001,7,31,0,7.880344286
2001,8,1,0,6.711109192
2001,8,2,0,6.377939266
2001,8,3,0,6.163986795
2001,8,4,0,6.241835661
2001,8,5,0,6.353631539
2001,8,6,0,6.736787881
2001,8,7,0,6.014350854
2001,8,8,0,6.812864863
2001,8,9,0,7.453846143
2001,8,10,0,7.023157413
2001,8,11,0,6.644582127
2001,8,12,0,7.204735313
2001,8,13,0,7.98028649
2001,8,14,0,7.043720016
2001,8,15,0,6.316395887
